timestamp,views
2022-01-01,1617
2022-01-02,2046
2022-01-03,2292
2022-01-04,2762
2022-01-05,2560
2022-01-06,2346
2022-01-07,2377
2022-01-08,2293
2022-01-09,2245
2022-01-10,2526
2022-01-11,2623
2022-01-12,2700
2022-01-13,2440
2022-01-14,2238
2022-01-15,1881
2022-01-16,1930
2022-01-17,2475
2022-01-18,2693
2022-01-19,2709
2022-01-20,2644
2022-01-21,2342
2022-01-22,1710
2022-01-23,2018
2022-01-24,2325
2022-01-25,3271
2022-01-26,2420
2022-01-27,2453
2022-01-28,2468
2022-01-29,1951
2022-01-30,2004
2022-01-31,2616
2022-02-01,2470
2022-02-02,2384
2022-02-03,2549
2022-02-04,2553
2022-02-05,1723
2022-02-06,1787
2022-02-07,2562
2022-02-08,2460
2022-02-09,2619
2022-02-10,2282
2022-02-11,2514
2022-02-12,1754
2022-02-13,2216
2022-02-14,2371
2022-02-15,2332
2022-02-16,2415
2022-02-17,2662
2022-02-18,2207
2022-02-19,1663
2022-02-20,1883
2022-02-21,2484
2022-02-22,2325
2022-02-23,2478
2022-02-24,2217
2022-02-25,2134
2022-02-26,1812
2022-02-27,1799
2022-02-28,2859
2022-03-01,2473
2022-03-02,2587
2022-03-03,2540
2022-03-04,2355
2022-03-05,1626
2022-03-06,1915
2022-03-07,2708
2022-03-08,2500
2022-03-09,2463
2022-03-10,2616
2022-03-11,2303
2022-03-12,1910
2022-03-13,1824
2022-03-14,2759
2022-03-15,2615
2022-03-16,2448
2022-03-17,2440
2022-03-18,2470
2022-03-19,1592
2022-03-20,1853
2022-03-21,2461
2022-03-22,2544
2022-03-23,2951
2022-03-24,2467
2022-03-25,2219
2022-03-26,1724
2022-03-27,1777
2022-03-28,2424
2022-03-29,2574
2022-03-30,2425
2022-03-31,2476
2022-04-01,2137
2022-04-02,1944
2022-04-03,2017
2022-04-04,2473
2022-04-05,2626
2022-04-06,2818
2022-04-07,2606
2022-04-08,2410
2022-04-09,1766
2022-04-10,1945
2022-04-11,2807
2022-04-12,2821
2022-04-13,2599
2022-04-14,2492
2022-04-15,2039
2022-04-16,1732
2022-04-17,2092
2022-04-18,2340
2022-04-19,2584
2022-04-20,2491
2022-04-21,2440
2022-04-22,2136
2022-04-23,1860
2022-04-24,1871
2022-04-25,2558
2022-04-26,2990
2022-04-27,2591
2022-04-28,2471
2022-04-29,2557
2022-04-30,1758
2022-05-01,1819
2022-05-02,2514
2022-05-03,2540
2022-05-04,3310
2022-05-05,2427
2022-05-06,2202
2022-05-07,1762
2022-05-08,2761
2022-05-09,2864
2022-05-10,2881
2022-05-11,2549
2022-05-12,2867
2022-05-13,2316
2022-05-14,1782
2022-05-15,1793
2022-05-16,2832
2022-05-17,2628
2022-05-18,2596
2022-05-19,2524
2022-05-20,2145
2022-05-21,1737
2022-05-22,1902
2022-05-23,2395
2022-05-24,2507
2022-05-25,2697
2022-05-26,2353
2022-05-27,2278
2022-05-28,1851
2022-05-29,1833
2022-05-30,2203
2022-05-31,2231
2022-06-01,2529
2022-06-02,2343
2022-06-03,2116
2022-06-04,1598
2022-06-05,1780
2022-06-06,2317
2022-06-07,2428
2022-06-08,2358
2022-06-09,2120
2022-06-10,2087
2022-06-11,1752
2022-06-12,1900
2022-06-13,2549
2022-06-14,2461
2022-06-15,2385
2022-06-16,3223
2022-06-17,2419
2022-06-18,1637
2022-06-19,1753
2022-06-20,2154
2022-06-21,2372
2022-06-22,2151
2022-06-23,2213
2022-06-24,1896
2022-06-25,1484
2022-06-26,1622
2022-06-27,2027
2022-06-28,1889
2022-06-29,1872
2022-06-30,1820
2022-07-01,1750
2022-07-02,1416
2022-07-03,1517
2022-07-04,2126
2022-07-05,2081
2022-07-06,2061
2022-07-07,1907
2022-07-08,1814
2022-07-09,1482
2022-07-10,1608
2022-07-11,1785
2022-07-12,2004
2022-07-13,1920
2022-07-14,2012
2022-07-15,1684
2022-07-16,1753
2022-07-17,1491
2022-07-18,2089
2022-07-19,1936
2022-07-20,1837
2022-07-21,2256
2022-07-22,1848
2022-07-23,1451
2022-07-24,1494
2022-07-25,2060
2022-07-26,2030
2022-07-27,2058
2022-07-28,2129
2022-07-29,2444
2022-07-30,1731
2022-07-31,1687
2022-08-01,2608
2022-08-02,2050
2022-08-03,2836
2022-08-04,2198
2022-08-05,2041
2022-08-06,1661
2022-08-07,1629
2022-08-08,2020
2022-08-09,2071
2022-08-10,1890
2022-08-11,1868
2022-08-12,1711
2022-08-13,1462
2022-08-14,1457
2022-08-15,1864
2022-08-16,2136
2022-08-17,2098
2022-08-18,2729
2022-08-19,2116
2022-08-20,2148
2022-08-21,2191
2022-08-22,2304
2022-08-23,2280
2022-08-24,2160
2022-08-25,2208
2022-08-26,1857
2022-08-27,1394
2022-08-28,1676
2022-08-29,2093
2022-08-30,2107
2022-08-31,2047
2022-09-01,2308
2022-09-02,2150
2022-09-03,1554
2022-09-04,1567
2022-09-05,2153
2022-09-06,2195
2022-09-07,2440
2022-09-08,2101
2022-09-09,2120
2022-09-10,1494
2022-09-11,1659
2022-09-12,2282
2022-09-13,2421
2022-09-14,2440
2022-09-15,2231
2022-09-16,2072
2022-09-17,1805
2022-09-18,1909
2022-09-19,2314
2022-09-20,2503
2022-09-21,2600
2022-09-22,2407
2022-09-23,2252
2022-09-24,1835
2022-09-25,1955
2022-09-26,2545
2022-09-27,2440
2022-09-28,2482
2022-09-29,2419
2022-09-30,2107
2022-10-01,1642
2022-10-02,1769
2022-10-03,2120
2022-10-04,2377
2022-10-05,2477
2022-10-06,2712
2022-10-07,2157
2022-10-08,1863
2022-10-09,1748
2022-10-10,2142
2022-10-11,2520
2022-10-12,2482
2022-10-13,2575
2022-10-14,2462
2022-10-15,1962
2022-10-16,1971
2022-10-17,2650
2022-10-18,2598
2022-10-19,2732
2022-10-20,2495
2022-10-21,2280
2022-10-22,1732
2022-10-23,1904
2022-10-24,2408
2022-10-25,2638
2022-10-26,2714
2022-10-27,2482
2022-10-28,2556
2022-10-29,1800
2022-10-30,2036
2022-10-31,2738
2022-11-01,2535
2022-11-02,2717
2022-11-03,2455
2022-11-04,2342
2022-11-05,1830
2022-11-06,1902
2022-11-07,2645
2022-11-08,2671
2022-11-09,2531
2022-11-10,2410
2022-11-11,2000
2022-11-12,1587
2022-11-13,2045
2022-11-14,2946
2022-11-15,2936
2022-11-16,2692
2022-11-17,2459
2022-11-18,2095
2022-11-19,1730
2022-11-20,2148
2022-11-21,2865
2022-11-22,2511
2022-11-23,2618
2022-11-24,2314
2022-11-25,2145
2022-11-26,1967
2022-11-27,2155
2022-11-28,2643
2022-11-29,2865
2022-11-30,2596
2022-12-01,2438
2022-12-02,2467
2022-12-03,1920
2022-12-04,2300
2022-12-05,2870
2022-12-06,2624
2022-12-07,2766
2022-12-08,2941
2022-12-09,2183
2022-12-10,1823
2022-12-11,2223
2022-12-12,5321
2022-12-13,2860
2022-12-14,2556
2022-12-15,2545
2022-12-16,2424
2022-12-17,1752
2022-12-18,1843
2022-12-19,2447
2022-12-20,2581
2022-12-21,2584
2022-12-22,2487
2022-12-23,1997
2022-12-24,1414
2022-12-25,1338
2022-12-26,1686
2022-12-27,1868
2022-12-28,1835
2022-12-29,2097
2022-12-30,1789
2022-12-31,1376
2023-01-01,1586
2023-01-02,2302
2023-01-03,2607
2023-01-04,2441
2023-01-05,2732
2023-01-06,2287
2023-01-07,2076
2023-01-08,2128
2023-01-09,2634
2023-01-10,2638
2023-01-11,2721
2023-01-12,2837
2023-01-13,2392
2023-01-14,1917
2023-01-15,1920
2023-01-16,2562
2023-01-17,2833
2023-01-18,2758
2023-01-19,2735
2023-01-20,2470
2023-01-21,2302
2023-01-22,2283
2023-01-23,3024
2023-01-24,3047
2023-01-25,2797
2023-01-26,2440
2023-01-27,2586
2023-01-28,1967
2023-01-29,2176
2023-01-30,2759
2023-01-31,2820
2023-02-01,2732
2023-02-02,2753
2023-02-03,2704
2023-02-04,2060
2023-02-05,2111
2023-02-06,2974
2023-02-07,3009
2023-02-08,2954
2023-02-09,2787
2023-02-10,2447
2023-02-11,2043
2023-02-12,2186
2023-02-13,3174
2023-02-14,3015
2023-02-15,2807
2023-02-16,2814
2023-02-17,2438
2023-02-18,2010
2023-02-19,2101
2023-02-20,2804
2023-02-21,2910
2023-02-22,2797
2023-02-23,2691
2023-02-24,2473
2023-02-25,1954
2023-02-26,2080
2023-02-27,2962
2023-02-28,2806
2023-03-01,3172
2023-03-02,2983
2023-03-03,2487
2023-03-04,2066
2023-03-05,2022
2023-03-06,2734
2023-03-07,2730
2023-03-08,2753
2023-03-09,3044
2023-03-10,2674
2023-03-11,2104
2023-03-12,2152
2023-03-13,2790
2023-03-14,2798
2023-03-15,2906
2023-03-16,3195
2023-03-17,2610
2023-03-18,2147
2023-03-19,2210
2023-03-20,2953
2023-03-21,2915
2023-03-22,2820
2023-03-23,2798
2023-03-24,2450
2023-03-25,2131
2023-03-26,2231
2023-03-27,3127
2023-03-28,3139
2023-03-29,3089
2023-03-30,3555
2023-03-31,3023
2023-04-01,2296
2023-04-02,2235
2023-04-03,2936
2023-04-04,2799
2023-04-05,2501
2023-04-06,2336
2023-04-07,2264
2023-04-08,1963
2023-04-09,1972
2023-04-10,2301
2023-04-11,2679
2023-04-12,2531
2023-04-13,2656
2023-04-14,2404
2023-04-15,1876
2023-04-16,2163
2023-04-17,2910
2023-04-18,2582
2023-04-19,2656
2023-04-20,2629
2023-04-21,2351
