timestamp,views
2022-01-01,749
2022-01-02,906
2022-01-03,923
2022-01-04,1114
2022-01-05,991
2022-01-06,1050
2022-01-07,914
2022-01-08,964
2022-01-09,993
2022-01-10,1099
2022-01-11,1198
2022-01-12,1218
2022-01-13,1030
2022-01-14,918
2022-01-15,819
2022-01-16,889
2022-01-17,1211
2022-01-18,1303
2022-01-19,1236
2022-01-20,1283
2022-01-21,1226
2022-01-22,935
2022-01-23,829
2022-01-24,1121
2022-01-25,1196
2022-01-26,1109
2022-01-27,1152
2022-01-28,1135
2022-01-29,808
2022-01-30,815
2022-01-31,1103
2022-02-01,1086
2022-02-02,1140
2022-02-03,1327
2022-02-04,1909
2022-02-05,1704
2022-02-06,1753
2022-02-07,2024
2022-02-08,2056
2022-02-09,2046
2022-02-10,2030
2022-02-11,1922
2022-02-12,1743
2022-02-13,2022
2022-02-14,1943
2022-02-15,1931
2022-02-16,2044
2022-02-17,2009
2022-02-18,1937
2022-02-19,1746
2022-02-20,1783
2022-02-21,2027
2022-02-22,2003
2022-02-23,2074
2022-02-24,1928
2022-02-25,1724
2022-02-26,1639
2022-02-27,1715
2022-02-28,1913
2022-03-01,1873
2022-03-02,2078
2022-03-03,2023
2022-03-04,1943
2022-03-05,1664
2022-03-06,1759
2022-03-07,2016
2022-03-08,2010
2022-03-09,2014
2022-03-10,2027
2022-03-11,1983
2022-03-12,1737
2022-03-13,1717
2022-03-14,1974
2022-03-15,2127
2022-03-16,1998
2022-03-17,1965
2022-03-18,1961
2022-03-19,1680
2022-03-20,1898
2022-03-21,2145
2022-03-22,2290
2022-03-23,2131
2022-03-24,1942
2022-03-25,1204
2022-03-26,822
2022-03-27,954
2022-03-28,1083
2022-03-29,1130
2022-03-30,1200
2022-03-31,1058
2022-04-01,1040
2022-04-02,753
2022-04-03,789
2022-04-04,1141
2022-04-05,1145
2022-04-06,1314
2022-04-07,1225
2022-04-08,1033
2022-04-09,748
2022-04-10,910
2022-04-11,1102
2022-04-12,1223
2022-04-13,1089
2022-04-14,991
2022-04-15,912
2022-04-16,797
2022-04-17,909
2022-04-18,1077
2022-04-19,1145
2022-04-20,1154
2022-04-21,1090
2022-04-22,1038
2022-04-23,815
2022-04-24,901
2022-04-25,1207
2022-04-26,1234
2022-04-27,1401
2022-04-28,1267
2022-04-29,1056
2022-04-30,752
2022-05-01,840
2022-05-02,941
2022-05-03,965
2022-05-04,1029
2022-05-05,954
2022-05-06,824
2022-05-07,841
2022-05-08,859
2022-05-09,1083
2022-05-10,1073
2022-05-11,1032
2022-05-12,972
2022-05-13,1025
2022-05-14,654
2022-05-15,663
2022-05-16,905
2022-05-17,963
2022-05-18,941
2022-05-19,823
2022-05-20,846
2022-05-21,597
2022-05-22,665
