timestamp,views
2022-01-01,7804
2022-01-02,9073
2022-01-03,11325
2022-01-04,12042
2022-01-05,12735
2022-01-06,12822
2022-01-07,12035
2022-01-08,10973
2022-01-09,11035
2022-01-10,13537
2022-01-11,13434
2022-01-12,13210
2022-01-13,12964
2022-01-14,12321
2022-01-15,10707
2022-01-16,10813
2022-01-17,13963
2022-01-18,13977
2022-01-19,14079
2022-01-20,13945
2022-01-21,13156
2022-01-22,12014
2022-01-23,11005
2022-01-24,14430
2022-01-25,13832
2022-01-26,14845
2022-01-27,14072
2022-01-28,13331
2022-01-29,11824
2022-01-30,11284
2022-01-31,13857
2022-02-01,13343
2022-02-02,13560
2022-02-03,13720
2022-02-04,13852
2022-02-05,12513
2022-02-06,11315
2022-02-07,14228
2022-02-08,13927
2022-02-09,14157
2022-02-10,13661
2022-02-11,13810
2022-02-12,11131
2022-02-13,12149
2022-02-14,13951
2022-02-15,15849
2022-02-16,14255
2022-02-17,14105
2022-02-18,13477
2022-02-19,11518
2022-02-20,12216
2022-02-21,14244
2022-02-22,14279
2022-02-23,14150
2022-02-24,12774
2022-02-25,12673
2022-02-26,10779
2022-02-27,10741
2022-02-28,13148
2022-03-01,13267
2022-03-02,13498
2022-03-03,13531
2022-03-04,10282
2022-03-05,7279
2022-03-06,7210
2022-03-07,9304
2022-03-08,10013
2022-03-09,10197
2022-03-10,10184
2022-03-11,10018
2022-03-12,8361
2022-03-13,8737
2022-03-14,10824
2022-03-15,11958
2022-03-16,11357
2022-03-17,10687
2022-03-18,10415
2022-03-19,10386
2022-03-20,10554
2022-03-21,12771
2022-03-22,13166
2022-03-23,13210
2022-03-24,12845
2022-03-25,10273
2022-03-26,7486
2022-03-27,7679
2022-03-28,9777
2022-03-29,9702
2022-03-30,9566
2022-03-31,9332
2022-04-01,8105
2022-04-02,6853
2022-04-03,7277
2022-04-04,9594
2022-04-05,10716
2022-04-06,9510
2022-04-07,9390
2022-04-08,8781
2022-04-09,6927
2022-04-10,6946
2022-04-11,9175
2022-04-12,9056
2022-04-13,10233
2022-04-14,7733
2022-04-15,7145
2022-04-16,6052
2022-04-17,6941
2022-04-18,8668
2022-04-19,9808
2022-04-20,10103
2022-04-21,9529
2022-04-22,8850
2022-04-23,7306
2022-04-24,7563
2022-04-25,9575
2022-04-26,16943
2022-04-27,9482
2022-04-28,9505
2022-04-29,8772
2022-04-30,6791
2022-05-01,7137
2022-05-02,8365
2022-05-03,9670
2022-05-04,10125
2022-05-05,9483
2022-05-06,8656
2022-05-07,7056
2022-05-08,6869
2022-05-09,9335
2022-05-10,9843
2022-05-11,9782
2022-05-12,9662
2022-05-13,8530
2022-05-14,7201
2022-05-15,7203
2022-05-16,9452
2022-05-17,10201
2022-05-18,10227
2022-05-19,10308
2022-05-20,9227
2022-05-21,7381
2022-05-22,9536
2022-05-23,10417
2022-05-24,10855
2022-05-25,10385
2022-05-26,9540
2022-05-27,8513
2022-05-28,7076
2022-05-29,7443
2022-05-30,9387
2022-05-31,10477
2022-06-01,10042
2022-06-02,9796
2022-06-03,9852
2022-06-04,7554
2022-06-05,7182
2022-06-06,9248
2022-06-07,9685
2022-06-08,9752
2022-06-09,9105
2022-06-10,8065
2022-06-11,6833
2022-06-12,7178
2022-06-13,9652
2022-06-14,9976
2022-06-15,9874
2022-06-16,9466
2022-06-17,8345
2022-06-18,7266
2022-06-19,7142
2022-06-20,9883
2022-06-21,10084
2022-06-22,9662
2022-06-23,9495
2022-06-24,7697
2022-06-25,6403
2022-06-26,7173
2022-06-27,9143
2022-06-28,9226
2022-06-29,9118
2022-06-30,8300
2022-07-01,7708
2022-07-02,6362
2022-07-03,6525
2022-07-04,8638
2022-07-05,8987
2022-07-06,9220
2022-07-07,8863
2022-07-08,8296
2022-07-09,6625
2022-07-10,6537
2022-07-11,8852
2022-07-12,9659
2022-07-13,8862
2022-07-14,8574
2022-07-15,22577
2022-07-16,7326
2022-07-17,7039
2022-07-18,9004
2022-07-19,8919
2022-07-20,8472
2022-07-21,10612
2022-07-22,9472
2022-07-23,7431
2022-07-24,7857
2022-07-25,8889
2022-07-26,9278
2022-07-27,9568
2022-07-28,9159
2022-07-29,8528
2022-07-30,6880
2022-07-31,7248
2022-08-01,9117
2022-08-02,9078
2022-08-03,10345
2022-08-04,9012
2022-08-05,9385
2022-08-06,7346
2022-08-07,7622
2022-08-08,9696
2022-08-09,8809
2022-08-10,9467
2022-08-11,8952
2022-08-12,8253
2022-08-13,7231
2022-08-14,6897
2022-08-15,8736
2022-08-16,9902
2022-08-17,9592
2022-08-18,9653
2022-08-19,8675
2022-08-20,7146
2022-08-21,7315
2022-08-22,11011
2022-08-23,9998
2022-08-24,10204
2022-08-25,10047
2022-08-26,8708
2022-08-27,7202
2022-08-28,7734
2022-08-29,9626
2022-08-30,10014
2022-08-31,9261
2022-09-01,9288
2022-09-02,8640
2022-09-03,7325
2022-09-04,8483
2022-09-05,9314
2022-09-06,10950
2022-09-07,10914
2022-09-08,9726
2022-09-09,10249
2022-09-10,7962
2022-09-11,8377
2022-09-12,10713
2022-09-13,11739
2022-09-14,11978
2022-09-15,11539
2022-09-16,10218
2022-09-17,8288
2022-09-18,8427
2022-09-19,11421
2022-09-20,11733
2022-09-21,11813
2022-09-22,11514
2022-09-23,9914
2022-09-24,8766
2022-09-25,8163
2022-09-26,11147
2022-09-27,11223
2022-09-28,10874
2022-09-29,11049
2022-09-30,9549
2022-10-01,7796
2022-10-02,8519
2022-10-03,10128
2022-10-04,10369
2022-10-05,9910
2022-10-06,10313
2022-10-07,9072
2022-10-08,7666
2022-10-09,7629
2022-10-10,10268
2022-10-11,11176
2022-10-12,11003
2022-10-13,10315
2022-10-14,13854
2022-10-15,11738
2022-10-16,9111
2022-10-17,10757
2022-10-18,10350
2022-10-19,10708
2022-10-20,11512
2022-10-21,10435
2022-10-22,7912
2022-10-23,7810
2022-10-24,9670
2022-10-25,11197
2022-10-26,17567
2022-10-27,14830
2022-10-28,16784
2022-10-29,9846
2022-10-30,8685
2022-10-31,11063
2022-11-01,10843
2022-11-02,18319
2022-11-03,11712
2022-11-04,11691
2022-11-05,8395
2022-11-06,8981
2022-11-07,11782
2022-11-08,11509
2022-11-09,10662
2022-11-10,10569
2022-11-11,9376
2022-11-12,8046
2022-11-13,8307
2022-11-14,10919
2022-11-15,11128
2022-11-16,10635
2022-11-17,10943
2022-11-18,9401
2022-11-19,8052
2022-11-20,7941
2022-11-21,10536
2022-11-22,10633
2022-11-23,10740
2022-11-24,9874
2022-11-25,9660
2022-11-26,8884
2022-11-27,9644
2022-11-28,11588
2022-11-29,11866
2022-11-30,11377
2022-12-01,10834
2022-12-02,9266
2022-12-03,7694
2022-12-04,7778
2022-12-05,10094
2022-12-06,10100
2022-12-07,10109
2022-12-08,9868
2022-12-09,8756
2022-12-10,7432
2022-12-11,7459
2022-12-12,9538
2022-12-13,9998
2022-12-14,9806
2022-12-15,9399
2022-12-16,8647
2022-12-17,7135
2022-12-18,6873
2022-12-19,8926
2022-12-20,9023
2022-12-21,8577
2022-12-22,8468
2022-12-23,7820
2022-12-24,6594
2022-12-25,6197
2022-12-26,7775
2022-12-27,8303
2022-12-28,8306
2022-12-29,8417
2022-12-30,7500
2022-12-31,6219
2023-01-01,6793
2023-01-02,9169
2023-01-03,10063
2023-01-04,10094
2023-01-05,9935
2023-01-06,8597
2023-01-07,7190
2023-01-08,7164
2023-01-09,9923
2023-01-10,10394
2023-01-11,11299
2023-01-12,10567
2023-01-13,9316
2023-01-14,9073
2023-01-15,7668
2023-01-16,10096
2023-01-17,10676
2023-01-18,11302
2023-01-19,11772
2023-01-20,10542
2023-01-21,8412
2023-01-22,8428
2023-01-23,10908
2023-01-24,12098
2023-01-25,10674
2023-01-26,10281
2023-01-27,10082
2023-01-28,8564
2023-01-29,15900
2023-01-30,10980
2023-01-31,11194
2023-02-01,10816
2023-02-02,11265
2023-02-03,10198
2023-02-04,8440
2023-02-05,8511
2023-02-06,11088
2023-02-07,11416
2023-02-08,11318
2023-02-09,10861
2023-02-10,10232
2023-02-11,8822
2023-02-12,8362
2023-02-13,10646
2023-02-14,10696
2023-02-15,10210
2023-02-16,10067
2023-02-17,9359
2023-02-18,7603
2023-02-19,7826
2023-02-20,10374
2023-02-21,20885
2023-02-22,10493
2023-02-23,10086
2023-02-24,9206
2023-02-25,7701
2023-02-26,8495
2023-02-27,14352
2023-02-28,13257
2023-03-01,10153
2023-03-02,10452
2023-03-03,9707
2023-03-04,7686
2023-03-05,7591
2023-03-06,10323
2023-03-07,10434
2023-03-08,9716
2023-03-09,10576
2023-03-10,9828
2023-03-11,8149
2023-03-12,8240
2023-03-13,10815
2023-03-14,13320
2023-03-15,22031
2023-03-16,29101
2023-03-17,13707
2023-03-18,35345
2023-03-19,8641
2023-03-20,10899
2023-03-21,10630
2023-03-22,13232
2023-03-23,13019
2023-03-24,9836
2023-03-25,8110
2023-03-26,7761
2023-03-27,10363
2023-03-28,11025
2023-03-29,11486
2023-03-30,11592
2023-03-31,10664
2023-04-01,8640
2023-04-02,7526
2023-04-03,9642
2023-04-04,9899
2023-04-05,8945
2023-04-06,8533
2023-04-07,7965
2023-04-08,7009
2023-04-09,6798
2023-04-10,8412
2023-04-11,8916
2023-04-12,9493
2023-04-13,8668
2023-04-14,7947
2023-04-15,9328
2023-04-16,6662
2023-04-17,9007
2023-04-18,8766
2023-04-19,8579
2023-04-20,8913
2023-04-21,7645
2023-04-22,6115
2023-04-23,6803
2023-04-24,9451
2023-04-25,9363
2023-04-26,9202
2023-04-27,9378
2023-04-28,9766
2023-04-29,7292
2023-04-30,6389
2023-05-01,8650
2023-05-02,9569
2023-05-03,9812
2023-05-04,8939
2023-05-05,7946
2023-05-06,6046
2023-05-07,6416
2023-05-08,7632
2023-05-09,7912
2023-05-10,7795
2023-05-11,10692
2023-05-12,8315
2023-05-13,5581
2023-05-14,5734
2023-05-15,7853
2023-05-16,7906
2023-05-17,7896
2023-05-18,7762
2023-05-19,6822
2023-05-20,5888
2023-05-21,5791
2023-05-22,8417
2023-05-23,8658
2023-05-24,8104
2023-05-25,8132
2023-05-26,8119
2023-05-27,8647
2023-05-28,7278
2023-05-29,7061
2023-05-30,8142
2023-05-31,9058
2023-06-01,7504
2023-06-02,7396
2023-06-03,12464
2023-06-04,7877
2023-06-05,9832
2023-06-06,11247
